,English,Tamil
0,"""There is no precaution"".. Scolded Chief Minister Stalin.. ""Very difficult"".",சபரிமலையில் குவியும் பக்தர்கள்: ஐயப்பனை இரவு 11 மணிவரை தரிசிக்க அனுமதி 
1,34 people have corona in Saidapet Govt Training Center.. How is the health of the students?, ஆரியங்காவு தர்மசாஸ்தா அன்னை புஷ்கலா தேவி திருக்கல்யாணம் கோலாகலம் 
2,Hanuman Jayanti at Dhanwandri Peedam: 100008 Vada Malas ready to be worn for Namakkal Anjaneyar,புலிவாகனத்தில் மகரசங்கராந்தி பிரவேசம் - யாருக்கு ராஜயோகம்... யாருக்கு நஷ்டம் தெரியுமா 
3,Happy New Year 2022: Do you know which country welcomes the New Year first in the world? This is the last country,தன்வந்திரி பீடத்தில் அனுமன் ஜெயந்தி: நாமக்கல் ஆஞ்சநேயருக்கு அணிவிக்க 100008 வடை மாலை தயார் 
4,Devotees thronging Sabarimala: Allowed to visit Ayyappan till 11 pm,"தடுப்பூசி போடலியா.. பேங்க், ஹோட்டல் கூட போக முடியாது.. தடை போட்ட ஹரியானா அரசு"
5,Have you been vaccinated? Can't even go to bank or hotel? Haryana government has banned it,ஹரியானா நிலச்சரிவில் சிக்கி 4 பேர் பலி.. மற்றவர்கள் நிலை என்ன? 
6,"'Omicron virus: 3rd wave confirmed, immediate action required..' Ravikumar MP campaign letter to Chief Minister","""முன்னெச்சரிக்கையே இல்லை"".. சாடிய முதல்வர் ஸ்டாலின்.. ""ரொம்ப கஷ்டம்"".. வானிலை மையம் தந்த பதில்! "
7,India should be taken to the highest place.. Governor Tamilisai requested,சைதாப்பேட்டை அரசு பயிற்சி மையத்தில் 34 பேருக்கு கொரோனா.. மாணவர்கள் உடல்நிலை எப்படி உள்ளது?
8,Superhero.. Ambulance stuck in Chennai traffic.. Person who made way by walking 5 km.. Sema,Happy New Year 2022: உலகிலேயே முதலில் புத்தாண்டை வரவேற்கும் நாடு எது தெரியுமா? கடைசி நாடு இதுதான்
9,The Tamil Nadu Dravidar Kazhagam will join the Dravidian Movement Tamil Assembly tomorrow!.. Do you know the reason?,இந்தியாவை மிக உயர்ந்த இடத்துக்கு கொண்டு செல்ல வேண்டும்.. ஆளுநர் தமிழிசை வேண்டுகோள்
10,Haryana Landslide Kills 4 People.," 'ஓமிக்ரான் வைரஸ்: 3ஆம் அலை உறுதி, உடனடி நடவடிக்கை தேவை..' முதல்வருக்கு ரவிக்குமார் எம்பி பரபர கடிதம்"
11,"Edappadi Palaniswami says.. ""Iron man Amit Shah.. Modi is making the country a superpower"".. Nach Tweet",சூப்பர் ஹீரோ.. சென்னை டிராபிக்கில் சிக்கிய ஆம்புலன்ஸ்.. 5 கிமீ நடந்தே போய் வழி உண்டாக்கிய நபர்.. செம
12,Chennai Meteorological Department.. First day review.. Chief Minister Stalin wrote a letter to Amit Shah the next day!,"இந்த பெல்ட் மொத்தமும் ""ஹாட்ஸ்பாட்"".. கன மழை பெய்ய போகிறது.. தமிழ்நாடு வெதர்மேன் அப்டேட்! "
13,"Avadi, Tambaram.. 2 new police commissioner offices.. Chief Minister Stalin inaugurated", அன்னபூரணி அன்னைக்கு அப்படி பேசினாரே.. செய்த வேலையை பார்த்தீங்களா.. இது உண்மையா?
14,"Are you going to order food on Somato, Swiggy anymore? Read this a bit.. the price is going to go up!","எடப்பாடி பழனிசாமி சொல்கிறார்.. ""இரும்பு மனிதர் அமித்ஷா.. நாட்டை வல்லரசாக்குகிறார் மோடி"".. நச் ட்வீட்"
15,Singhara Chennai to Sink Chennai. Musk tweets,தமிழக பள்ளி மாணவர்களுக்கு குட் நியூஸ்.. மீண்டும் ஆல் பாஸ்? அரசு தீவிர ஆலோசனை.. வெளியான பரபர தகவல் 
16,Ariankavu Dharmashastha Mother Pushkala Devi Thirukalyanam Kolakalam,"""தெய்வமே..."" போயஸ் கார்டனில் முழக்கம்.. வெள்ளை ஆடையில் தோன்றி புத்தாண்டு வாழ்த்து சொன்ன ரஜினிகாந்த்"
